0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,65,70,71,186,187,186,187,66,67,68,69,66,67,66,67,66,67,70,71,72,0,0,0,0,0
0,0,0,0,0,95,100,101,216,217,216,217,96,97,98,99,96,97,96,97,96,97,100,101,102,0,0,0,0,0
0,0,0,0,0,125,66,67,128,129,128,129,128,129,128,129,128,129,128,129,128,129,68,69,132,0,0,0,0,0
0,0,0,0,0,155,96,97,158,159,158,159,158,159,158,159,158,159,158,159,158,159,98,99,162,0,0,0,0,0
0,0,0,0,0,185,66,67,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,66,67,102,0,0,0,0,0
0,0,0,0,0,215,96,97,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,96,97,132,0,0,0,0,0
0,0,0,0,0,125,186,187,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,66,67,162,0,0,0,0,0
0,0,0,0,0,155,216,217,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,96,97,102,0,0,0,0,0
0,0,0,0,0,125,66,67,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,68,69,132,0,0,0,0,0
0,0,0,0,0,155,96,97,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,98,99,162,0,0,0,0,0
0,0,0,0,0,185,66,67,66,67,126,127,66,67,68,69,66,67,66,67,66,67,66,67,192,0,0,0,0,0
0,0,0,0,0,215,96,97,96,97,156,157,96,97,98,99,96,97,96,97,96,97,96,97,222,0,0,0,0,0
0,0,0,0,0,245,246,247,246,247,246,247,246,247,248,249,246,247,246,247,246,247,246,247,252,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,31,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
